,不限,专用车品牌,卡车品牌,封闭货车品牌,工程车品牌,微型车品牌,挂车品牌,电动卡车品牌,皮卡品牌,配件品牌
0,奔驰,安徽大田(秋浦牌),奔驰,比亚迪,安徽星马(星马牌),北京牌,冰凌方,奔驰,北京牌,安凯桥
1,北奔重卡,奔驰,北奔重卡,北汽威旺,北奔重卡,北汽威旺,大运挂车,比亚迪,长安轻型车,艾里逊
2,北汽黑豹,北奔重卡,北汽黑豹,长安跨越,北方重工,北汽幻速,宏昌天马,北汽新能源,长城汽车,安徽康明斯
3,比亚迪,北汽黑豹,比亚迪,长安轻型车,别拉斯,长安跨越,锣响挂车,北汽威旺,长丰汽车,安途生
4,北京牌,比亚迪,北京牌,东风股份,北方交通,长安轻型车,烈牛半挂车,宝骐汽车,成功汽车,埃贝赫
5,北汽新能源,冰凌方,BMC,东风商用车,贝尔,昌河汽车,梁山长虹,博雷顿,东风股份,安徽巨一
6,BMC,北京北铃(北铃牌),北汽威旺,东风华神,长春双龙(龙帝牌),成功汽车,梁山盛源,北斗航天,东风,安中
7,北汽威旺,北京天路(天路牌),长安跨越,东风小康,东风商用车,东风股份,梁山中泽,长安跨越,大众,埃尔曼
8,宝骐汽车,北京科力（科力牌）,长安轻型车,东风超龙,东风柳汽,东风小康,梁山新宇,长安轻型车,道奇,奔驰
9,博雷顿,长安跨越,昌河汽车,东风客车,东风华神,东南汽车,欧阳聚德,昌河汽车,福田皮卡,北奔重卡
10,北斗航天,长安轻型车,川交汽车,东南汽车,大运重卡,福田商务车,深圳中集(深扬帆),长江汽车,福特汽车,博格思众
11,北汽幻速,昌河汽车,长征汽车,福田商务车,东风新疆(原专底/创普),福田伽途,山东骏通,成都雅骏,丰田汽车,BPW(梅州)桥
12,长安跨越,常州中汽(常奇牌),长安重汽,福田伽途,达夫/DAF,福汽启腾,中集华骏,东风股份,福迪汽车,倍耐力
13,长安轻型车,长沙中联(中联牌),东风股份,福田祥菱,斗山,广汽吉奥,中集瑞江,东风福瑞卡(全新),广汽吉奥,北汽福田
14,长城汽车,滁州永强(永强牌),东风凯普特,福特汽车,福田欧曼,华晨鑫源金杯,中集(中集牌),东风电动轻卡,黄海汽车,北内柴油机
15,昌河汽车,长春双龙(龙帝牌),东风多利卡,福建奔驰,福田瑞沃,哈飞,郓城华威,东风柳汽,海格汽车,暴享
16,川交汽车,驰田汽车,东风福瑞卡(全新),华晨鑫源金杯,飞碟奥驰,海马汽车,,大运轻卡,恒天汽车,宝石
17,长征汽车,滁州长久(恒信致远牌),东风力拓,黄海汽车,抚挖重工,开瑞汽车,,东风华神,绵阳金杯,波波娃
18,长丰集团,东风商用车,东风电动轻卡,华晨雷诺,广汽日野,力帆,,大运重卡,江铃汽车,朝柴
19,长安重汽,东风柳汽,东风途逸,海格汽车,湖北大运,上汽五菱,,大众,江西五十铃,采埃孚
20,长江汽车,东风多利卡,东风天然气车,沈阳金杯,华菱,时空电动,,达夫/DAF,江淮皮卡,常柴
21,成功汽车,东风途逸,东风商用车,华晨鑫源金杯,湖北程力(程力威牌),一汽吉林,,东风瑞泰特,江淮安驰,成山
22,成都雅骏,东风凯普特,东风柳汽,华晨雷诺,航天万山,郑州日产,,东风捍蓝,凯马,长城动力
23,东风股份,大运轻卡,大运轻卡,江淮星锐,湖北楚胜(楚胜牌),,,德力汽车,开瑞汽车,长城机油
24,东风凯普特,东风华神,东风华神,一汽解放,恒天新楚风,,,福田时代,卡威,朝阳浪马
25,东风多利卡,大运重卡,大运重卡,江铃汽车,湖北大力(大力牌),,,福田欧马可,绵阳金杯,昌河铃木
26,东风福瑞卡(全新),东风福瑞卡(全新),东风小康,江淮瑞风,湖北合力(神狐牌),,,福田奥铃,美国通用,成发汽发
27,东风力拓,东风股份,东风新疆(原专底/创普),九龙汽车,航天晨光(三力牌),,,福田商务车,明君汽车,苍泰
28,东风电动轻卡,东风新疆(原专底/创普),大众,凯马,湖北江山,,,福田伽途,南骏汽车,成功淮海
29,东风途逸,东风南充,达夫/DAF,陆地方舟,湖北航天双龙(龙帝牌),,,福田祥菱,庆铃,绰丰柳机
30,东风天然气车,东风随专,东沃,牡丹汽车,江淮格尔发,,,飞碟奥驰,骐铃汽车,车娱宝
31,东风商用车,德沃重工(鸿天牛牌),东风南充,南京依维柯,卡特彼勒/Caterpillar,,,飞碟缔途,上汽大通,东风股份
32,东风柳汽,福田时代,东风捍蓝,南京金龙,联合卡车,,,福田智蓝,时骏,东风
33,大运轻卡,福田欧曼,福田欧曼,南汽(畅达牌),雷萨重机,,,华晨鑫源金杯,特斯拉,东风康明斯
34,东风华神,福田奥铃,福田时代,庆铃,柳工,,,华菱,天汽美亚,大柴
35,大运重卡,福田欧马可,福田欧马可,上汽五菱,利勃海尔,,,华晨雷诺,五十铃,东风德纳
36,东风小康,福田瑞沃,福田奥铃,四川现代,南骏汽车,,,恒天新楚风,雪佛兰,东安
37,东风新疆(原专底/创普),福田祥菱,福田瑞沃,沈阳金杯,内蒙亿阳(兆阳牌),,,海格汽车,一汽凌河,鼎立
38,东风超龙,飞碟奥驰,福田伽途,上汽大通,普茨迈斯特,,,沈阳金杯,一汽通用,大齿
39,东风,飞碟缔途,福田祥菱,陕西通家,青岛解放,,,华晨鑫源金杯,一汽蓝舰,邓禄普
40,大众,福田商务车,飞碟奥驰,时空电动,全进重工,,,华晨雷诺,重汽王牌,达菲特
41,达夫/DAF,福建龙马(福龙马牌),飞碟缔途,五洲龙,奇瑞重工,,,江淮帅铃,郑州日产,道达尔
42,道奇,福田欧辉,福特汽车,厦门金龙,青岛重工（青专牌）,,,江淮格尔发,中兴汽车,东洋
43,东沃,广州粤雪,福达汽车,厦门金旅,日立建机,,,江淮康铃,,戴卡宏鑫
44,东风南充,广州汇联(汇联牌),广汽日野,一汽解放,陕汽重卡,,,江淮星锐,,大连大机
45,东风客车,湖北大运,广汽吉奥,依维柯,上汽跃进,,,一汽解放,,法士特
46,东风瑞泰特,华菱,湖北大运,一汽吉林,上汽红岩,,,青岛解放,,福田康明斯
47,东风捍蓝,湖北程力(程力威牌),华晨鑫源金杯,远旺,三一集团,,,一汽红塔,,福田环保动力
48,东南汽车,湖北楚胜(楚胜牌),华菱,,陕汽商用车,,,一汽解放轻卡,,富华桥
49,德力汽车,恒天新楚风,黄海汽车,,三环十通,,,江铃汽车,,方兴
50,福田欧曼,湖北江南(江特牌),航天万山,,时骏,,,九龙汽车,,弗列加
51,福田时代,宏昌天马,宏昌天马,,森源重工,,,九州汽车,,方盛车桥
52,福田欧马可,航天凌河,航天凌河,,陕汽通力,,,吉海汽车,,菲亚特
53,福田奥铃,湖北成龙威(楚飞牌),哈飞,,上海华建(华建牌),,,凯马,,福伊特
54,福田皮卡,河南冰熊(冰熊牌),沈阳金杯,,山推,,,开瑞汽车,,风神
55,福田商务车,湖北大力(大力牌),华晨鑫源金杯,,山东东岳(圣岳牌),,,开瑞绿卡,,复强动力
56,福田瑞沃,湖北合力(神狐牌),绵阳金杯,,施维英,,,陆地方舟,,福斯
57,福田伽途,杭州爱知(爱知牌),江淮帅铃,,唐山亚特(亚特重工牌),,,曼,,飞利浦
58,福田祥菱,湖北宏宇(虹宇牌),江淮格尔发,,特雷克斯,,,明君汽车,,富成
59,飞碟奥驰,航天晨光(三力牌),江淮骏铃,,沃尔沃,,,南骏汽车,,歌谷
60,飞碟缔途,河南新飞(新飞牌),江淮康铃,,徐工重卡,,,南京依维柯,,固特异
61,福特汽车,湖北聚力(聚尘王牌),江淮星锐,,小松,,,南京金龙,,格拉默
62,丰田汽车,湖北新中绿(中洁牌),江淮工程车,,厦工,,,尼古拉,,汉德
63,福迪汽车,湖北万力(琴台牌),一汽解放,,一汽解放,,,南汽(畅达牌),,汉马
64,福达汽车,湖北同威(专威牌),青岛解放,,依维柯,,,普朗特,,华源莱动
65,福田智蓝,湖北润力(润知星),一汽柳特,,宇通重工,,,青岛解放,,韩泰
66,福建奔驰,江铃汽车,一汽红塔,,炎龙汽车,,,庆铃,,哈齿
67,福汽启腾,江淮骏铃,一汽解放轻卡,,玉柴重工,,,骐铃汽车,,哈弗原动力
68,广汽日野,江淮格尔发,江铃汽车,,运力,,,瑞驰,,华劲
69,广汽吉奥,江淮康铃,江铃重汽,,重汽HOWO轻卡,,,容大智造,,华柴
70,湖北大运,江淮帅铃,江淮安驰,,重汽豪沃(HOWO),,,陕汽重卡,,横滨
71,华晨鑫源金杯,江铃重汽,精功汽车,,重汽王牌,,,上汽跃进,,亨通
72,华菱,江淮工程车,凯马,,重汽汕德卡,,,上汽五菱,,华盛联合
73,黄海汽车,济南重汽(绿叶牌),开瑞汽车,,重汽豪瀚,,,上汽红岩,,海马
74,华晨雷诺,精功汽车,开瑞绿卡,,重汽豪曼,,,时风,,华伊
75,航天万山,驹王牌,联合卡车,,重汽斯太尔,,,陕汽商用车,,江铃重汽
76,恒天新楚风,吉林长久(摩天牌),雷诺,,中国重汽,,,沈阳金杯,,江西五十铃
77,宏昌天马,锦州奥捷(金牛牌),曼,,中联重科,,,三环十通,,江铃
78,航天凌河,凯马,绵阳金杯,,中集瑞江,,,上汽大通,,江淮锐捷特
79,哈飞,开瑞绿卡,南骏汽车,,中集(中集牌),,,森源重工,,江淮纳威司达
80,海格汽车,联合卡车,南京依维柯,,中集凌宇(凌宇牌),,,陕西通家,,嘉实多
81,海马汽车,雷诺,南汽(畅达牌),,中环动力,,,时空电动,,江淮动力
82,恒天汽车,雷萨重机,青岛解放,,,,,申龙客车,,吉利四川(原东风南充)
83,沈阳金杯,辽宁合力(丹凌牌),庆铃,,,,,顺肇,,佳通
84,华晨鑫源金杯,曼,骐铃汽车,,,,,唐骏汽车,,金东
85,绵阳金杯,明光浩淼(光通牌),陕汽重卡,,,,,特斯拉,,锦湖
86,华晨雷诺,南骏汽车,上汽跃进,,,,,五洲龙,,极路客
87,江淮帅铃,南汽(畅达牌),上汽五菱,,,,,徐工重卡,,吉奥
88,江淮格尔发,南京金长江(路鑫牌),上汽红岩,,,,,厦门金龙,,嘉世通
89,江淮骏铃,盘锦金碧(金碧牌),斯堪尼亚,,,,,厦门金旅,,壳牌
90,江淮康铃,青岛解放,三一集团,,,,,一汽解放,,KME
91,江淮星锐,庆铃,时风,,,,,一汽解放轻卡,,康明斯
92,江淮工程车,骐铃汽车,四川现代,,,,,一汽红塔,,可兰素
93,一汽解放,青岛重工（青专牌）,陕汽商用车,,,,,远程汽车,,昆仑
94,青岛解放,陕汽重卡,沈阳金杯,,,,,一汽客车,,康普顿
95,一汽柳特,上汽跃进,三环十通,,,,,一汽吉林,,凯卓立
96,一汽红塔,上汽五菱,时骏,,,,,宇通重工,,克莱
97,一汽解放轻卡,上汽红岩,陕汽轻卡,,,,,扬子江,,酷瑞
98,江铃汽车,三一集团,三菱扶桑,,,,,延龙汽车,,康迈
99,江铃重汽,时风,三龙龙江,,,,,重汽HOWO轻卡,,雷诺
100,江西五十铃,四川现代,神河汽车,,,,,重汽豪沃(HOWO),,玲珑
101,江淮皮卡,陕汽商用车,唐骏汽车,,,,,重汽王牌,,联合动力
102,江淮安驰,沈阳金杯,图森未来,,,,,重汽豪曼,,雷沃动力
103,江淮瑞风,三环十通,沃尔沃,,,,,郑州日产,,力佳
104,九龙汽车,时骏,五十铃,,,,,中联重科,,力魔
105,九州汽车,陕汽通力,徐工重卡,,,,,中兴汽车,,莱恩动力
106,精功汽车,随州力神(醒狮牌),现代,,,,,,,雷姆斯
107,吉海汽车,顺肇,一汽解放,,,,,,,连晟
108,凯马,山东正泰(希尔牌),一汽解放轻卡,,,,,,,曼
109,开瑞汽车,上海格拉曼(上格牌),一汽红塔,,,,,,,美孚
110,卡威,随州东正(炎帝牌),依维柯,,,,,,,米其林
111,开瑞绿卡,韶起(韶液牌),一汽柳特,,,,,,,玛吉斯
112,联合卡车,四川森田(川消牌),远程汽车,,,,,,,蒙沃
113,雷诺,松川,一汽凌河,,,,,,,美驰桥
114,力帆,陕汽榆林,一汽通用,,,,,,,万力
115,陆地方舟,陕西嘉航,一汽吉林,,,,,,,马牌
116,曼,陕西银河(银河牌),一拖重卡,,,,,,,万里星
117,绵阳金杯,唐骏汽车,远旺,,,,,,,美铝
118,牡丹汽车,铁岭陆平(陆平机器牌),中国重汽,,,,,,,南京依维柯
119,美国通用,天明,重汽HOWO轻卡,,,,,,,NFA
120,明君汽车,沃尔沃,重汽汕德卡,,,,,,,牛力
121,南骏汽车,武汉市政(皇冠牌),重汽豪沃(HOWO),,,,,,,耐捷
122,南京依维柯,武汉汉福（金银湖牌）,重汽斯太尔,,,,,,,普利司通
123,南京金龙,徐工重卡,重汽豪瀚,,,,,,,派克
124,尼古拉,襄阳新中昌(中昌牌),重汽王牌,,,,,,,佩卡
125,南汽(畅达牌),新东日,重汽豪曼,,,,,,,珀然
126,普朗特,一汽解放,郑州日产,,,,,,,全柴
127,青岛解放,一汽解放轻卡,中正汽车,,,,,,,庆铃五十铃
128,庆铃,一汽红塔,,,,,,,,青特集团
129,骐铃汽车,依维柯,,,,,,,,青山
130,瑞驰,远程汽车,,,,,,,,奇瑞
131,容大智造,一汽凌河,,,,,,,,锐展
132,陕汽重卡,一汽通用,,,,,,,,日野
133,上汽跃进,宇通重工,,,,,,,,瑞立
134,上汽五菱,远旺,,,,,,,,上汽五菱
135,上汽红岩,炎龙汽车,,,,,,,,上汽红岩
136,斯堪尼亚,烟台海德(海德牌),,,,,,,,斯堪尼亚
137,三一集团,运达集团(铁运牌),,,,,,,,四川现代
138,时风,一汽四平(雄风牌),,,,,,,,上汽大通
139,四川现代,重汽HOWO轻卡,,,,,,,,上柴
140,陕汽商用车,重汽豪沃(HOWO),,,,,,,,上菲红
141,沈阳金杯,重汽王牌,,,,,,,,双星
142,三环十通,重汽汕德卡,,,,,,,,三菱扶桑
143,上汽大通,重汽豪瀚,,,,,,,,双钱
144,时骏,重汽豪曼,,,,,,,,四达动力
145,陕汽轻卡,重汽斯太尔,,,,,,,,上海日野
146,森源重工,郑州日产,,,,,,,,三角
147,陕西通家,中国重汽,,,,,,,,双喜
148,三菱扶桑,中集华骏,,,,,,,,绍齿
149,三龙龙江,中集瑞江,,,,,,,,3M
150,时空电动,中集(中集牌),,,,,,,,苏州绿控
151,神河汽车,中集凌宇(凌宇牌),,,,,,,,狮王
152,申龙客车,镇江康飞(康飞牌),,,,,,,,三能
153,顺肇,重汽希尔博,,,,,,,,上汽齿
154,唐骏汽车,镇江飞驰(飞球牌),,,,,,,,升瑞
155,特斯拉,郑州红宇(红宇牌),,,,,,,,神牛
156,天汽美亚,中通(东岳牌),,,,,,,,泰铂
157,图森未来,中集通华,,,,,,,,统一
158,沃尔沃,,,,,,,,,唐纳森
159,五十铃,,,,,,,,,特尔佳
160,五洲龙,,,,,,,,,沃尔沃
161,徐工重卡,,,,,,,,,潍柴
162,厦门金龙,,,,,,,,,五十铃
163,现代,,,,,,,,,万里扬
164,雪佛兰,,,,,,,,,五菱柳机
165,厦门金旅,,,,,,,,,伟博思通
166,一汽解放,,,,,,,,,威伯科
167,一汽解放轻卡,,,,,,,,,威尔耐
168,一汽红塔,,,,,,,,,渥宁
169,依维柯,,,,,,,,,锡柴
170,一汽柳特,,,,,,,,,现代
171,远程汽车,,,,,,,,,新晨动力
172,一汽凌河,,,,,,,,,小康动力
173,一汽客车,,,,,,,,,西安康明斯
174,一汽通用,,,,,,,,,新柴
175,一汽吉林,,,,,,,,,星瑞(原六安)
176,一拖重卡,,,,,,,,,新光华晨
177,一汽蓝舰,,,,,,,,,西安双特
178,宇通重工,,,,,,,,,新光华翔
179,远旺,,,,,,,,,鑫聚力
180,扬子江,,,,,,,,,兴龙
181,延龙汽车,,,,,,,,,一汽解放
182,中国重汽,,,,,,,,,玉柴
183,重汽HOWO轻卡,,,,,,,,,云内动力
184,重汽汕德卡,,,,,,,,,扬柴
185,重汽豪沃(HOWO),,,,,,,,,樱花轮胎
186,重汽斯太尔,,,,,,,,,伊顿
187,重汽豪瀚,,,,,,,,,亿利
188,重汽王牌,,,,,,,,,溢通环保
189,重汽豪曼,,,,,,,,,扬动
190,郑州日产,,,,,,,,,一汽四环
191,中联重科,,,,,,,,,一汽
192,中兴汽车,,,,,,,,,雅士
193,中正汽车,,,,,,,,,渝安淮海动力
194,,,,,,,,,,义和桥
195,,,,,,,,,,英得尔
196,,,,,,,,,,优迪狮
197,,,,,,,,,,雅固
198,,,,,,,,,,中国重汽
199,,,,,,,,,,正新
200,,,,,,,,,,綦齿
201,,,,,,,,,,重庆长安
202,,,,,,,,,,浙江万丰
203,,,,,,,,,,重庆康明斯
204,,,,,,,,,,正兴车轮
205,,,,,,,,,,中联桥
